Gone in 60 Seconds
Iron Man 3
The Matrix
The Expendables 3
Men In Black
Ratatouille
The Lord of the Rings Trilogy
Madagascar
Furious 7
How to Train Your Dragon 2
The Expendables 2
The Transporter 3
Men In Black II
X-Men: The Last Stand
Despicable Me 2
Big Hero 6
King Kong
Batman Begins
X-Men 2
Titanic
Twilight
How to Train Your Dragon
Brave
The Expendables
Batman: The Dark Knight
Iron Man 2
Thor
Anjaana Anjaani
Bhool Bhulaiya
Captain America
Mary Kom
Partner 
Om Shanti Om
Phir Hera Pheri 
X-Men: First Class
Toy Story 3
Shrek 2
Jannat
Aashiqui 2
X-Men Origins: Wolverine
Fantastic Four: Rise of the Silver Surfer
The Incredible Hulk
Toy Story 2
The Fast and the Furious: Tokyo Drift
Gabbar Is Back
Pirates of the Caribbean: On Stranger Tides
Piku
Harry Potter
