1,1:2,4:6:9,5.8
2,3:4,4:8:10,7.2
3,2,3:6:12,6.8
4,5:6:7:8,4:11,5.6
5,9:10,4:1:6,6.6
6,3,4:5,6.3
7,11,6:5:11,6.8
8,19:17,6:9:11,7
9,12:10:13,6:4,7.6
10,3:20,6:1:5,7.3
11,1:21,6:9,7.6
12,1:2:22,6:4:2,8.2
13,23:2:15,1:5:6,2
15,3:24,3:1:6,8.9
16,3,5:1:13,8.2
17,4:11:25,3:4:6,6.7
18,5,1:6,5.5
19,5:26,1:4:5,6.3
20,14:7:27,1:13:5,5.5
23,15:10:2,7:6:11,7.2
26,16:17:2,1:6:5,8.3
27,16:28,4:11,8
24,14:29,1:6:10,7.3

