Shrek
Golmaal Again
Public Janti Hai
Daawat-e-Ishq
Hamari Adhuri Kahani - The Film
Hamari Adhuri Kahani
Dawat-E-Ishq
Band Baaja Baaraat
Golmaal - Fun Unlimited
Chup Chup Ke
Jaane Tu, Jaane Na
NH10
Welcome
Housefull 2
Singh Is King
Ajab Prem Ki Ghazab Kahani
Fanaa
Lagaan
Tamasha (film)
Tare Zamee Par
Oh My God (2012 film)
Yeh Jawaani Hai Deewani
Chennai Express
Bahubali (film)
Gone in 60 Seconds
