1,2.0
2,3.0
3,2.0
4,2.0
5,2.0
6,2.0
7,2.0
8,3.0
10,2.0
11,2.0
12,2.0
13,3.0
14,3.0
15,3.0
16,3.0
17,2.0
18,1.0
9,1.0
19,1.0
20,2.0
21,3.0
22,1.0
23,1.0
24,3.0
25,3.0
26,3.0
27,2.0
28,3.0
29,2.0
30,2.0
40,3.0
39,3.0
38,2.0
37,2.0
36,3.0
35,2.0
34,3.0
33,2.0
32,3.0
31,2.0
50,2.0
41,3.0
42,3.0
43,2.0
44,3.0
45,2.0
46,3.0
47,3.0
48,2.0
49,3.0
60,2.0
59,1.0
58,2.0
57,2.0
56,2.0
55,3.0
54,2.0
53,2.0
52,3.0
51,3.0
70,1.0
69,4.0
68,3.0
67,2.0
66,2.0
65,3.0
64,3.0
63,3.0
62,2.0
61,2.0
80,1.0
79,2.0
78,3.0
77,1.0
76,2.0
75,1.0
74,2.0
73,3.0
72,1.0
71,1.0
81,2.0
82,2.0
83,2.0
84,3.0
85,3.0
86,2.0
87,3.0
88,1.0
89,2.0
90,3.0
91,3.0
92,2.0
93,3.0
94,1.0
95,2.0
96,2.0
97,3.0
98,2.0
105,1.0
103,1.0
102,1.0
101,3.0
100,2.0
99,1.0
106,2.0
108,2.0
107,2.0
109,2.0
111,4.0
116,1.0
115,4.0
114,3.0
113,3.0
112,1.0
127,3.0
126,4.0
125,1.0
124,2.0
123,2.0
122,2.0
121,3.0
120,2.0
119,2.0
118,2.0
117,1.0
144,4.0
143,2.0
142,2.0
141,3.0
140,1.0
139,3.0
138,1.0
137,3.0
136,3.0
135,2.0
134,2.0
133,2.0
132,2.0
131,2.0
130,3.0
129,3.0
128,1.0
158,2.0
157,1.0
156,1.0
155,1.0
145,1.0
146,1.0
147,1.0
148,2.0
149,0.0
150,1.0
151,2.0
152,2.0
153,3.0
154,2.0
165,2.0
159,2.0
160,2.0
161,2.0
162,2.0
163,2.0
164,2.0
181,2.0
180,2.0
179,3.0
178,1.0
177,1.0
176,2.0
175,2.0
173,2.0
174,2.0
172,3.0
171,2.0
170,2.0
169,3.0
168,2.0
167,2.0
182,2.0
189,3.0
188,3.0
187,2.0
186,2.0
185,2.0
183,3.0
192,2.0
191,3.0
190,3.0
195,3.0
197,2.0
196,2.0
199,2.0
200,2.0
